Animals,Food,Countries,Movies,TV Shows
Lion,Sandwich,Afghanistan,The Shawshank Redemption,Game of Thrones
Tiger,Pizza,Argentina,The Godfather,Breaking Bad
Elephant,Burger,Australia,Pulp Fiction,Friends
Giraffe,Salad,Brazil,Fight Club,The Simpsons
Zebra,Pasta,Canada,Titanic,The Office
Kangaroo,Sushi,China,Forrest Gump,Stranger Things
Koala,Tacos,Colombia,Jaws,The Walking Dead
Gorilla,Chicken wings,Egypt,Casablanca,The Big Bang Theory
Cheetah,Hot dog,France,The Wizard of Oz,Greys Anatomy
Hippopotamus,Steak,Germany,ET the ExtraTerrestrial,House of Cards
Penguin,Shrimp,India,Back to the Future,Westworld
Dolphin,Lobster,Indonesia,The Terminator,The Crown
Whale,Omelette,Iran,Braveheart,The Mandalorian
Octopus,Pancakes,Italy,Goodfellas,Lost
Shark,Waffles,Japan,Schindlers List,Narcos
Crocodile,French fries,Kenya,Gladiator,Sherlock
Rhinoceros,Fried rice,Mexico,The Departed,Fargo
Chimpanzee,Nachos,Nigeria,Inception,Black Mirror
Leopard,Burrito,Pakistan,The Social Network,The Handmaids Tale
Ostrich,Soup,Peru,The Princess Bride,Better Call Saul
Alligator,Meatball,Philippines,The Silence of the Lambs,Vikings
Panda,Chicken nuggets,Russia,The Sixth Sense,The Witcher
Wolf,Fish and chips,Saudi Arabia,The Shining,How I Met Your Mother
Bear,BBQ ribs,South Africa,The Breakfast Club,Supernatural
Moose,Caesar salad,South Korea,Home Alone,The XFiles
Fox,Caesar dressing,Spain,Ghostbusters,Brooklyn NineNine
Jaguar,Guacamole,Sweden,The Hangover,Daredevil
Gazelle,Bruschetta,Switzerland,Inglourious Basterds,The Good Place
Camel,Croissant,Thailand,La La Land,Stranger Things
Bison,Bagel,Turkey,The Great Gatsby,Ozark
Eagle,Muffin,Ukraine,The Green Mile,Peaky Blinders
Hawk,Donut,United Arab Emirates,The Matrix,Parks and Recreation
Parrot,Brownie,United Kingdom,The Dark Knight,The Haunting of Hill House
Toucan,Ice cream,United States,Interstellar,True Detective
Flamingo,Milkshake,Venezuela,The Truman Show,The Americans
Pelican,Pancake syrup,Vietnam,The Prestige,Breaking Bad
Peacock,Cereal,Angola,Inglourious Basterds,Arrested Development
Hummingbird,Popcorn,Belgium,Django Unchained,Money Heist
Swan,Pretzel,Chile,The Revenant,Homeland
Otter,Cookies,Cuba,The Grand Budapest Hotel,Friends
Squirrel,Cupcake,Denmark,The Big Lebowski,The Wire
Raccoon,Macaroni and cheese,Finland,A Clockwork Orange,Mad Men
Hedgehog,Chicken noodle soup,Greece,The Lion King,The Marvelous Mrs Maisel
Platypus,Clam chowder,Hungary,Blade Runner,The Handmaids Tale
Kangaroo,Fried chicken,Iceland,Good Will Hunting,The Crown
Armadillo,Beef stew,Ireland,The Sound of Music,Fargo
Corgi,Apple pie,Jordan,Rocky,Black Mirror
Cheetah,Chocolate cake,Luxembourg,The Breakfast Club,The Mandalorian
Ocelot,Cheesecake,Netherlands,Amelie,Better Call Saul
Turtle,Fruit salad,Israel,The Usual Suspects,Game of Thrones
